id_emprunt,id_client,id_exemplaire,dateemprunt,dateretourprevue,dateretourreelle
114,383,736,2017-04-21,2017-05-19,2017-06-03
115,208,582,2020-09-28,2020-10-12,2020-10-13
116,49,477,2023-07-14,2023-08-04,2023-08-07
117,468,231,2023-01-17,2023-01-31,2023-02-14
118,448,859,2018-11-30,2018-12-14,2018-12-29
119,69,715,2015-04-05,2015-04-19,2015-04-26
120,474,537,2017-12-19,2018-01-02,
121,458,175,2015-10-05,2015-11-02,2015-11-04
122,231,946,2021-11-08,2021-11-22,2021-11-28
123,34,41,2016-07-02,2016-07-16,2016-07-19
124,430,1443,2015-08-20,2015-09-17,2015-09-30
125,139,761,2018-01-19,2018-02-02,2018-02-02
126,39,122,2023-10-04,2023-10-18,2023-11-02
127,51,1956,2021-12-20,2022-01-10,2022-01-14
128,279,1950,2022-02-11,2022-02-25,2022-02-28
129,244,310,2020-03-22,2020-04-05,2020-04-17
130,444,1912,2023-05-08,2023-05-29,
131,192,161,2021-06-10,2021-07-01,2021-07-01
132,149,29,2020-07-24,2020-08-14,2020-08-14
133,89,859,2017-12-21,2018-01-18,2018-01-19
134,27,73,2016-02-13,2016-02-27,2016-03-12
135,51,1409,2017-02-27,2017-03-20,2017-03-28
136,77,1119,2019-04-12,2019-04-26,2019-04-21
137,29,1914,2019-06-24,2019-07-15,2019-07-15
138,400,1623,2016-09-12,2016-09-26,2016-10-01
139,213,1478,2017-08-26,2017-09-16,
140,210,1963,2016-07-09,2016-07-23,2016-07-24
141,239,975,2021-02-05,2021-03-05,2021-03-10
142,254,499,2021-10-13,2021-11-03,2021-11-01
143,289,1978,2016-07-13,2016-08-03,
144,316,946,2015-02-20,2015-03-06,2015-03-07
145,336,925,2016-01-02,2016-01-16,2016-01-12
146,277,1666,2016-12-04,2016-12-18,2016-12-19
147,242,1812,2019-04-09,2019-05-07,2019-05-18
148,96,246,2015-11-06,2015-12-04,2015-12-03
149,381,835,2015-04-13,2015-05-04,2015-05-07
150,57,1167,2023-11-20,2023-12-04,
151,243,1709,2016-11-15,2016-12-13,2016-12-10
152,209,111,2015-01-26,2015-02-16,2015-02-18
153,439,1611,2016-08-15,2016-08-29,2016-09-02
154,332,814,2016-06-23,2016-07-07,2016-07-04
155,467,1204,2015-03-05,2015-03-19,2015-03-20
156,299,557,2018-01-10,2018-01-24,2018-01-19
157,453,370,2018-06-03,2018-07-01,2018-07-11
158,216,1314,2019-03-20,2019-04-17,2019-04-17
159,473,268,2022-01-06,2022-01-27,2022-01-29
160,309,1676,2020-04-10,2020-05-01,2020-05-10
161,139,1942,2018-05-14,2018-06-11,2018-06-10
162,180,230,2018-11-13,2018-12-11,2018-12-23
163,295,1367,2019-04-15,2019-04-29,2019-04-27
164,275,1191,2016-03-28,2016-04-18,
165,277,1804,2024-06-09,2024-06-23,2024-07-01
166,411,1098,2019-07-16,2019-08-13,2019-08-27
167,220,1621,2024-12-03,2024-12-24,2025-01-05
168,110,950,2024-11-08,2024-12-06,2024-12-05
169,257,1077,2019-04-03,2019-04-17,
170,262,1535,2018-01-07,2018-01-28,2018-01-23
171,500,182,2017-08-03,2017-08-24,2017-09-05
172,150,1270,2021-05-01,2021-05-15,2021-05-25
173,154,90,2024-06-28,2024-07-26,2024-08-03
174,478,1688,2015-07-26,2015-08-16,2015-08-27
175,66,1708,2023-08-14,2023-08-28,2023-09-12
176,143,1107,2017-03-19,2017-04-09,
177,484,1947,2018-01-06,2018-02-03,2018-02-12
178,294,1978,2015-06-10,2015-07-08,2015-07-10
179,96,304,2020-12-01,2020-12-22,2020-12-30
180,103,1523,2023-01-05,2023-01-19,2023-01-19
181,444,30,2023-02-25,2023-03-18,2023-03-17
182,390,447,2019-01-11,2019-02-01,2019-02-02
183,266,772,2015-01-09,2015-01-23,2015-02-04
184,233,491,2017-10-15,2017-11-05,2017-11-12
185,265,1068,2021-08-28,2021-09-11,2021-09-06
186,63,517,2021-05-30,2021-06-27,
187,297,1956,2016-05-02,2016-05-23,2016-05-18
188,78,1681,2024-08-06,2024-08-20,2024-09-04
189,479,936,2017-08-20,2017-09-03,2017-09-04
190,373,942,2023-04-28,2023-05-26,2023-06-08
191,5,1110,2023-04-20,2023-05-18,2023-05-25
192,432,1948,2023-12-01,2023-12-29,2024-01-10
193,199,502,2015-12-03,2015-12-31,2016-01-03
194,418,1723,2015-06-16,2015-06-30,2015-07-14
195,128,890,2021-08-11,2021-09-08,2021-09-10
196,488,913,2016-05-01,2016-05-15,2016-05-17
197,163,190,2015-12-04,2015-12-18,2015-12-15
198,356,531,2022-06-05,2022-07-03,2022-07-09
199,493,1649,2018-09-12,2018-10-10,2018-10-23
200,97,1303,2018-06-19,2018-07-03,
201,105,664,2017-11-30,2017-12-28,2018-01-03
202,16,915,2023-07-21,2023-08-04,2023-08-12
203,311,1224,2018-08-10,2018-08-31,
204,442,829,2017-10-22,2017-11-12,2017-11-15
205,49,120,2019-11-05,2019-11-26,2019-11-22
206,370,33,2021-03-04,2021-03-18,2021-04-02
207,467,188,2024-02-01,2024-02-15,2024-02-27
208,335,456,2022-09-21,2022-10-19,2022-10-18
209,496,3,2020-10-03,2020-10-24,2020-10-28
210,178,1026,2016-09-03,2016-09-24,2016-10-05
211,464,279,2024-12-13,2024-12-27,2025-01-01
212,327,1989,2020-03-30,2020-04-13,2020-04-19
213,177,931,2017-02-28,2017-03-21,2017-03-23
214,318,194,2015-03-13,2015-03-27,2015-03-27
215,283,1437,2023-08-27,2023-09-24,
216,481,143,2018-09-21,2018-10-05,2018-10-13
217,178,1157,2022-01-17,2022-01-31,2022-02-05
218,59,1810,2015-03-15,2015-04-05,2015-04-12
219,113,114,2015-05-10,2015-05-24,2015-05-24
220,44,262,2017-12-19,2018-01-09,2018-01-05
221,45,61,2021-04-19,2021-05-03,2021-05-12
222,465,360,2016-01-03,2016-01-31,
223,219,141,2017-04-01,2017-04-15,2017-04-30
224,464,542,2018-12-08,2018-12-22,2019-01-06
225,377,880,2020-12-20,2021-01-17,2021-01-27
226,160,782,2019-11-18,2019-12-09,2019-12-12
227,157,1342,2023-02-19,2023-03-05,
228,215,449,2016-12-28,2017-01-11,
229,55,1274,2024-07-22,2024-08-19,2024-08-14
230,256,1473,2015-12-27,2016-01-17,2016-01-23
231,494,1499,2023-05-04,2023-06-01,
232,121,717,2018-06-20,2018-07-11,2018-07-14
233,274,347,2021-04-05,2021-04-26,2021-05-04
234,423,940,2016-10-30,2016-11-20,2016-11-19
235,261,803,2022-06-29,2022-07-13,2022-07-08
236,479,720,2024-07-02,2024-07-23,2024-07-30
237,439,267,2022-11-02,2022-11-23,
238,319,1801,2018-02-04,2018-02-18,
239,227,1046,2019-12-16,2020-01-06,
240,243,957,2024-08-08,2024-08-29,2024-09-02
241,31,1309,2024-04-22,2024-05-06,2024-05-19
242,500,1911,2017-04-30,2017-05-21,2017-05-29
243,248,618,2016-03-21,2016-04-18,2016-05-01
244,416,430,2016-08-19,2016-09-02,2016-09-05
245,450,1514,2018-06-13,2018-06-27,2018-07-05
246,78,178,2023-06-15,2023-07-06,2023-07-04
247,310,1512,2018-10-09,2018-11-06,2018-11-09
248,295,1610,2023-06-04,2023-06-25,2023-06-28
249,338,1416,2016-12-05,2016-12-19,
250,393,254,2018-02-06,2018-02-27,2018-02-24
251,397,401,2016-02-19,2016-03-18,2016-03-28
252,238,511,2021-02-17,2021-03-17,2021-03-16
253,116,691,2015-01-11,2015-02-08,2015-02-12
254,448,1770,2022-08-05,2022-09-02,2022-09-13
255,265,568,2020-08-21,2020-09-04,2020-09-15
256,208,532,2021-07-31,2021-08-21,2021-08-28
257,419,207,2024-09-17,2024-10-01,2024-09-29
258,160,402,2015-06-29,2015-07-13,2015-07-19
259,127,1768,2022-05-13,2022-06-10,2022-06-10
260,160,1252,2015-05-01,2015-05-15,2015-05-11
261,255,292,2023-05-06,2023-06-03,2023-06-05
262,198,109,2016-02-16,2016-03-15,2016-03-26
263,54,1218,2015-08-28,2015-09-11,2015-09-12
264,310,1869,2020-01-04,2020-02-01,2020-02-15
265,17,1922,2015-07-22,2015-08-05,2015-08-08
266,417,240,2015-02-24,2015-03-10,2015-03-20
267,383,203,2017-09-12,2017-09-26,2017-10-06
268,213,94,2021-08-12,2021-09-02,2021-09-14
269,388,795,2023-10-03,2023-10-31,2023-11-15
270,351,1465,2024-11-30,2024-12-14,2024-12-20
271,51,1192,2021-12-01,2021-12-15,2021-12-18
272,239,1683,2022-04-08,2022-04-29,2022-05-14
273,472,20,2020-11-15,2020-12-06,
274,175,458,2022-01-19,2022-02-02,2022-02-11
275,12,968,2018-10-15,2018-11-12,2018-11-10
276,268,1526,2016-11-12,2016-12-10,2016-12-19
277,307,1558,2015-01-15,2015-02-05,2015-02-14
278,485,851,2015-08-19,2015-09-16,2015-09-14
279,57,1596,2016-03-09,2016-03-30,2016-04-10
280,80,266,2021-11-26,2021-12-17,
281,325,787,2017-04-10,2017-05-08,2017-05-21
282,275,406,2017-10-26,2017-11-16,2017-11-14
283,230,1799,2020-06-10,2020-07-01,2020-06-27
284,461,1850,2019-09-14,2019-10-12,
285,8,1380,2015-01-29,2015-02-12,2015-02-24
286,239,1776,2023-02-08,2023-03-08,2023-03-14
287,132,1371,2020-08-12,2020-08-26,2020-09-10
288,110,1795,2024-09-25,2024-10-16,2024-10-15
289,201,1199,2019-06-07,2019-06-21,2019-06-19
290,283,722,2015-06-05,2015-06-26,2015-07-03
291,11,797,2024-06-30,2024-07-21,2024-07-31
292,34,895,2023-12-25,2024-01-15,2024-01-21
293,436,1873,2021-12-13,2022-01-10,2022-01-23
294,46,660,2019-02-02,2019-03-02,2019-03-01
295,459,611,2015-08-13,2015-09-10,2015-09-18
296,246,1901,2024-03-26,2024-04-09,2024-04-04
297,482,1956,2015-02-09,2015-02-23,2015-02-19
298,458,1602,2024-02-14,2024-03-13,2024-03-16
299,318,1103,2016-10-03,2016-10-24,2016-10-22
300,278,1752,2024-09-15,2024-09-29,2024-10-03
301,6,618,2018-04-14,2018-05-12,2018-05-07
302,417,32,2016-03-14,2016-04-11,2016-04-08
303,189,1867,2018-07-19,2018-08-02,2018-07-31
304,391,1654,2015-10-19,2015-11-09,2015-11-15
305,358,596,2023-01-04,2023-02-01,
306,342,1778,2019-07-14,2019-08-11,2019-08-13
307,47,192,2021-11-21,2021-12-12,2021-12-24
308,451,1559,2015-01-13,2015-02-03,2015-02-01
309,252,1036,2018-02-05,2018-02-26,2018-02-25
310,164,968,2024-03-13,2024-04-10,2024-04-08
311,71,1119,2017-10-07,2017-11-04,2017-11-02
312,465,1010,2023-08-22,2023-09-05,
313,191,1567,2018-09-11,2018-09-25,2018-10-08
314,186,532,2021-04-24,2021-05-15,2021-05-20
315,328,94,2016-09-25,2016-10-16,
316,83,466,2023-07-20,2023-08-17,2023-08-26
317,403,600,2023-03-27,2023-04-17,2023-04-21
318,396,574,2019-11-18,2019-12-16,2019-12-22
319,184,133,2019-09-28,2019-10-19,2019-10-15
320,32,1694,2019-12-14,2019-12-28,2019-12-29
321,413,540,2020-08-10,2020-08-31,2020-09-07
322,386,471,2023-06-19,2023-07-17,2023-08-01
323,51,997,2020-05-24,2020-06-21,2020-06-22
324,272,33,2018-07-26,2018-08-16,
325,152,1683,2023-09-15,2023-09-29,
326,362,941,2015-10-26,2015-11-16,2015-11-21
327,289,354,2022-07-14,2022-07-28,2022-07-28
328,351,1082,2018-09-23,2018-10-14,2018-10-21
329,96,1137,2019-07-08,2019-07-22,
330,230,854,2020-10-15,2020-11-05,
331,335,1828,2019-10-22,2019-11-12,2019-11-21
332,485,139,2019-03-26,2019-04-23,2019-05-03
333,107,1489,2024-08-22,2024-09-19,2024-09-24
334,184,1237,2021-02-24,2021-03-17,2021-03-16
335,221,1479,2016-05-28,2016-06-11,
336,459,1376,2020-08-26,2020-09-16,2020-09-24
337,471,1918,2022-10-13,2022-10-27,2022-11-07
338,91,118,2020-11-13,2020-12-04,2020-12-06
339,133,13,2022-10-13,2022-11-03,2022-11-05
340,396,297,2018-11-21,2018-12-05,2018-12-19
341,490,1854,2020-04-26,2020-05-10,2020-05-07
342,220,1949,2018-09-02,2018-09-30,
343,378,659,2017-11-20,2017-12-04,2017-12-19
344,257,1220,2019-08-13,2019-09-03,2019-09-13
345,177,522,2024-11-20,2024-12-11,2024-12-16
346,301,1443,2016-10-12,2016-11-02,
347,133,302,2024-09-03,2024-09-17,2024-09-28
348,384,1715,2024-06-23,2024-07-07,2024-07-14
349,31,1447,2016-06-17,2016-07-08,2016-07-08
350,76,988,2016-12-22,2017-01-05,
351,426,760,2016-02-28,2016-03-13,2016-03-22
352,496,1008,2022-04-21,2022-05-12,2022-05-10
353,81,1264,2016-03-12,2016-04-02,2016-04-06
354,138,1715,2024-11-25,2024-12-23,2024-12-27
355,17,768,2021-03-12,2021-04-02,2021-04-04
356,5,425,2016-12-20,2017-01-03,2017-01-16
357,383,847,2021-07-22,2021-08-05,2021-08-05
358,95,1390,2021-05-18,2021-06-15,2021-06-18
359,32,865,2019-06-17,2019-07-08,2019-07-05
360,231,952,2021-02-15,2021-03-01,
361,413,165,2024-11-27,2024-12-11,
362,455,702,2019-06-27,2019-07-11,2019-07-07
363,150,1195,2022-09-07,2022-09-21,
364,94,520,2017-03-23,2017-04-06,2017-04-15
365,442,1656,2018-02-19,2018-03-12,2018-03-10
366,222,495,2019-12-10,2019-12-24,2020-01-02
367,17,1519,2021-03-24,2021-04-07,2021-04-20
368,452,717,2019-06-17,2019-07-08,2019-07-08
369,167,223,2021-11-27,2021-12-25,2022-01-06
370,116,261,2022-11-02,2022-11-30,2022-12-14
371,93,1108,2020-03-07,2020-04-04,2020-04-14
372,61,1684,2024-08-28,2024-09-11,2024-09-24
373,153,1997,2019-05-07,2019-05-21,2019-05-17
374,65,1701,2023-08-30,2023-09-27,2023-09-23
375,331,679,2019-10-30,2019-11-27,2019-12-04
376,284,1320,2024-03-29,2024-04-12,2024-04-12
377,302,1002,2018-05-29,2018-06-19,
378,192,48,2017-12-20,2018-01-17,2018-01-30
379,223,618,2020-01-29,2020-02-26,2020-03-09
380,187,1544,2024-02-25,2024-03-10,2024-03-20
381,6,1363,2019-08-18,2019-09-01,2019-09-13
382,305,96,2023-01-07,2023-01-21,2023-01-21
383,398,1691,2016-11-10,2016-11-24,2016-11-30
384,133,1111,2018-05-10,2018-05-24,2018-05-27
385,461,322,2021-06-02,2021-06-16,2021-06-16
386,4,1961,2018-11-28,2018-12-12,2018-12-12
387,79,1659,2016-11-18,2016-12-02,2016-11-28
388,437,1994,2019-03-13,2019-04-10,2019-04-16
389,173,581,2015-09-01,2015-09-15,2015-09-17
390,116,1752,2018-09-07,2018-10-05,2018-10-01
391,414,1148,2019-07-17,2019-08-14,2019-08-26
392,100,1547,2018-03-12,2018-04-09,2018-04-23
393,151,1741,2023-09-13,2023-09-27,2023-09-27
394,304,874,2017-10-05,2017-10-26,
395,178,1156,2016-06-25,2016-07-09,2016-07-04
396,119,251,2023-05-17,2023-06-14,2023-06-29
397,83,1802,2016-06-01,2016-06-22,2016-06-19
398,385,1226,2021-07-02,2021-07-16,2021-07-21
399,314,1232,2019-05-28,2019-06-18,
400,61,293,2021-11-23,2021-12-07,
401,247,942,2017-09-21,2017-10-12,2017-10-09
402,34,1857,2018-06-19,2018-07-17,2018-07-17
403,329,191,2015-03-02,2015-03-23,2015-03-26
404,176,1275,2021-05-08,2021-05-22,
405,203,915,2023-12-08,2023-12-22,2023-12-22
406,191,476,2015-11-08,2015-12-06,2015-12-16
407,438,1948,2023-02-07,2023-02-28,2023-03-08
408,323,1880,2018-01-27,2018-02-17,2018-02-28
409,360,53,2019-06-21,2019-07-12,2019-07-11
410,415,1570,2024-12-25,2025-01-22,2025-01-31
411,82,1352,2017-07-25,2017-08-08,2017-08-21
412,162,1792,2023-04-27,2023-05-25,
413,362,217,2016-07-16,2016-08-06,2016-08-06
414,182,21,2015-09-15,2015-10-06,2015-10-11
415,52,1192,2018-07-25,2018-08-08,2018-08-07
416,265,1744,2022-03-05,2022-03-19,2022-03-15
417,237,1307,2019-12-14,2020-01-04,
418,192,1419,2016-07-26,2016-08-16,2016-08-15
419,79,1989,2023-04-25,2023-05-16,
420,322,1635,2016-01-18,2016-02-15,2016-02-18
421,406,225,2022-07-29,2022-08-19,2022-08-31
422,155,1581,2021-08-16,2021-08-30,2021-08-25
423,253,1299,2021-02-01,2021-02-22,2021-03-02
424,451,481,2019-04-15,2019-05-13,2019-05-14
425,221,726,2023-06-30,2023-07-14,2023-07-26
426,483,118,2016-01-26,2016-02-16,
427,341,594,2016-11-10,2016-12-01,2016-12-13
428,171,1304,2019-11-10,2019-12-01,2019-12-12
429,99,1699,2020-08-24,2020-09-14,2020-09-25
430,359,896,2023-04-15,2023-05-13,2023-05-18
431,10,1515,2022-12-20,2023-01-10,2023-01-10
432,338,1198,2020-09-11,2020-10-02,2020-10-01
433,442,1598,2023-09-26,2023-10-10,2023-10-11
434,403,1200,2022-02-24,2022-03-17,2022-03-14
435,94,1781,2019-05-24,2019-06-07,2019-06-07
436,94,723,2018-12-06,2018-12-20,2019-01-01
437,208,345,2023-03-07,2023-04-04,
438,211,387,2023-06-28,2023-07-19,2023-07-31
439,331,27,2021-08-09,2021-08-30,
440,473,561,2016-01-07,2016-01-21,2016-01-23
441,305,24,2015-12-24,2016-01-14,2016-01-14
442,214,808,2023-11-02,2023-11-16,2023-12-01
443,210,817,2016-11-28,2016-12-26,2016-12-25
444,457,702,2015-01-02,2015-01-23,
445,185,882,2024-04-14,2024-04-28,
446,332,81,2017-03-06,2017-03-20,2017-03-24
447,26,1511,2015-03-18,2015-04-15,2015-04-12
448,190,1563,2023-07-12,2023-07-26,2023-07-28
449,83,611,2017-04-02,2017-04-30,2017-04-29
450,114,783,2024-05-18,2024-06-08,2024-06-21
451,495,44,2024-07-22,2024-08-05,2024-08-13
452,165,820,2020-12-06,2020-12-20,2020-12-16
453,426,1722,2018-02-24,2018-03-17,2018-03-25
454,446,266,2015-08-13,2015-09-03,
455,366,1924,2019-05-21,2019-06-11,2019-06-22
456,117,949,2018-12-20,2019-01-03,2019-01-08
457,228,1692,2016-12-11,2016-12-25,2016-12-22
458,345,228,2019-10-10,2019-11-07,2019-11-09
459,7,1317,2017-04-22,2017-05-06,2017-05-04
460,495,892,2023-11-21,2023-12-19,2023-12-16
461,367,204,2018-05-12,2018-05-26,
462,60,1875,2019-05-13,2019-06-03,2019-06-07
463,241,1349,2023-05-26,2023-06-09,2023-06-18
464,458,1882,2019-05-10,2019-06-07,2019-06-15
465,405,515,2023-06-08,2023-06-22,2023-06-23
466,420,569,2021-10-11,2021-11-01,2021-10-28
467,168,1758,2024-11-13,2024-12-04,2024-12-14
468,11,178,2018-10-25,2018-11-08,2018-11-17
469,97,354,2024-05-16,2024-06-06,2024-06-19
470,147,1148,2018-05-12,2018-06-09,2018-06-09
471,40,1575,2017-06-16,2017-07-07,2017-07-10
472,220,1600,2020-07-25,2020-08-08,2020-08-14
473,294,524,2018-10-05,2018-10-19,2018-10-26
474,85,736,2020-01-12,2020-02-09,2020-02-04
475,382,462,2024-10-20,2024-11-10,2024-11-16
476,22,576,2019-03-31,2019-04-14,2019-04-27
477,223,1504,2022-09-19,2022-10-10,2022-10-21
478,491,7,2022-12-02,2022-12-23,2022-12-18
479,321,1814,2021-09-05,2021-09-26,2021-10-01
480,90,188,2018-07-05,2018-07-26,2018-07-29
481,400,1209,2019-05-20,2019-06-17,2019-06-22
482,298,1600,2021-10-07,2021-10-21,2021-10-17
483,345,876,2017-06-21,2017-07-12,2017-07-15
484,326,841,2015-07-24,2015-08-14,2015-08-29
485,259,1959,2023-04-07,2023-04-21,2023-04-30
486,27,812,2020-11-10,2020-12-01,2020-12-10
487,432,1335,2023-02-28,2023-03-21,2023-03-30
488,132,1836,2024-08-07,2024-08-28,
489,387,479,2019-08-24,2019-09-14,2019-09-21
490,462,1976,2019-07-14,2019-08-11,
491,452,1422,2023-10-09,2023-10-23,2023-10-27
492,383,1248,2015-12-23,2016-01-20,2016-01-31
493,77,928,2021-05-28,2021-06-11,
494,6,1592,2020-05-01,2020-05-29,2020-05-27
495,333,1723,2020-10-18,2020-11-08,2020-11-17
496,500,484,2024-05-23,2024-06-20,2024-06-24
497,18,692,2019-01-28,2019-02-18,2019-02-26
498,137,1874,2015-05-30,2015-06-13,2015-06-22
499,14,812,2019-10-07,2019-11-04,2019-11-05
500,12,1675,2020-06-01,2020-06-29,2020-06-30
501,281,1911,2019-07-16,2019-08-06,2019-08-04
502,211,1819,2016-07-09,2016-07-23,2016-07-31
503,329,576,2024-08-13,2024-09-03,
504,232,1041,2023-09-14,2023-09-28,2023-10-09
505,258,1557,2022-04-04,2022-05-02,2022-05-03
506,199,965,2018-09-11,2018-10-09,2018-10-05
507,156,1393,2023-06-05,2023-06-19,2023-06-20
508,445,1737,2024-02-13,2024-02-27,2024-03-12
509,13,1520,2020-08-25,2020-09-15,
510,166,1738,2024-06-18,2024-07-09,2024-07-24
511,71,285,2015-03-31,2015-04-28,2015-05-11
512,135,1327,2024-04-16,2024-04-30,2024-04-26
513,280,1771,2024-08-09,2024-09-06,2024-09-03
514,209,801,2019-07-03,2019-07-31,2019-07-26
515,206,1563,2017-04-23,2017-05-07,2017-05-04
516,347,1836,2016-10-29,2016-11-26,
517,298,364,2024-11-12,2024-11-26,2024-12-09
518,345,1161,2023-08-07,2023-09-04,2023-09-01
519,252,246,2024-02-26,2024-03-25,
520,495,1810,2021-04-20,2021-05-04,2021-05-09
521,238,186,2023-08-18,2023-09-01,2023-09-03
522,4,1094,2020-02-18,2020-03-17,
523,208,1203,2019-09-29,2019-10-20,2019-10-20
524,275,1407,2018-04-10,2018-04-24,2018-05-07
